config,software,version
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/snpEff/snpEff-4.3t-Java-1.8.eb,snpEff,4.3t
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/SQLite/SQLite-3.14.1-GCCcore-4.9.3.eb,SQLite,3.14.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/SQLite/SQLite-3.45.3-GCCcore-13.3.0.eb,SQLite,3.45.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/SRST2/SRST2-0.2.0-20210620-foss-2020b-Python-2.7.18.eb,SRST2,0.2.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MaSuRCA/MaSuRCA-4.0.1-foss-2020a-Perl-5.30.2.eb,MaSuRCA,4.0.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MaSuRCA/MaSuRCA-4.0.9-foss-2021a-Perl-5.32.1.eb,MaSuRCA,4.0.9
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/t/TopHat/TopHat-2.1.1-intel-2017b.eb,TopHat,2.1.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/t/TopHat/TopHat-2.1.2-GCC-11.3.0-Python-2.7.18.eb,TopHat,2.1.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/t/Trimmomatic/Trimmomatic-0.36-Java-1.8.0_92.eb,Trimmomatic,0.36
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/t/Trimmomatic/Trimmomatic-0.38-Java-1.8.eb,Trimmomatic,0.38
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/t/Trimmomatic/Trimmomatic-0.39-Java-17.eb,Trimmomatic,0.39
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/t/Trinity/Trinity-2.10.0-foss-2019b-Python-3.7.4.eb,Trinity,2.10.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/t/Trinity/Trinity-2.15.1-foss-2021b.eb,Trinity,2.15.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/u/UCLUST/UCLUST-1.2.22q-i86linux64.eb,UCLUST,1.2.22q
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/u/Unicycler/Unicycler-0.4.7-foss-2019a-Python-3.7.2.eb,Unicycler,0.4.7
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/u/Unicycler/Unicycler-0.4.8-gompi-2020a-Python-3.8.2.eb,Unicycler,0.4.8
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/u/Unicycler/Unicycler-0.5.0-gompi-2021b.eb,Unicycler,0.5.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/u/USEARCH/USEARCH-6.1.544-i86linux32.eb,USEARCH,6.1.544
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/v/vcflib/vcflib-1.0.3-foss-2021a-R-4.1.0.eb,vcflib,1.0.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/v/vcflib/vcflib-1.0.9-gfbf-2023a-R-4.3.2.eb,vcflib,1.0.9
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/v/VCFtools/VCFtools-0.1.14-foss-2016a-Perl-5.22.1.eb,VCFtools,0.1.14
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/v/VCFtools/VCFtools-0.1.15-foss-2018a-Perl-5.26.1.eb,VCFtools,0.1.15
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/t/tbl2asn/tbl2asn-25.8-linux64.eb,tbl2asn,25.8
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/Spyder/Spyder-3.1.4-intel-2017a-Python-2.7.13.eb,Spyder,3.1.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/Spyder/Spyder-3.3.2-foss-2018b-Python-3.6.6.eb,Spyder,3.3.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/s/Spyder/Spyder-4.1.5-foss-2020a-Python-3.8.2.eb,Spyder,4.1.5
